question,symbol,target_price,direction,price_at_entry,vol,prob_predicted,actual_outcome,brier,volume,end_date,entry_days_before,already_hit
"Will Bitcoin reach $115,000 by December 31, 2025?",BTC,115000.0,above,87171.68,0.4613,0.0019,0.0,0.0,0.0,2026-01-01,7,False
"Will Bitcoin dip to $65,000 by December 31, 2025?",BTC,65000.0,below,87171.68,0.4613,0.002,0.0,0.0,1734088.15,2026-01-01,7,False
"Will Bitcoin dip to $75,000 by December 31, 2025?",BTC,75000.0,below,87171.68,0.4613,0.0657,0.0,0.0043,2145764.06,2026-01-01,7,False
"Will Bitcoin reach $150,000 in February?",BTC,150000.0,above,67617.98,0.6046,0.0,0.0,0.0,28829221.51,2026-03-01,7,False
"Will Bitcoin reach $120,000 in February?",BTC,120000.0,above,67617.98,0.6046,0.0,0.0,0.0,3328347.52,2026-03-01,7,False
"Will Bitcoin reach $125,000 in February?",BTC,125000.0,above,67617.98,0.6046,0.0,0.0,0.0,4451426.16,2026-03-01,7,False
"Will Bitcoin dip to $60,000 in February?",BTC,60000.0,below,67617.98,0.6046,0.2033,1.0,0.6348,3982230.89,2026-03-01,7,False
"Will Bitcoin reach $115,000 in February?",BTC,115000.0,above,67617.98,0.6046,0.0,0.0,0.0,3486531.58,2026-03-01,7,False
"Will Bitcoin dip to $55,000 in February?",BTC,55000.0,below,67617.98,0.6046,0.0689,0.0,0.0047,7296072.02,2026-03-01,7,False
"Will Bitcoin dip to $70,000 in February?",BTC,70000.0,below,67617.98,0.6046,0.7068,1.0,0.086,3028856.66,2026-03-01,7,True
"Will Bitcoin reach $110,000 in February?",BTC,110000.0,above,67617.98,0.6046,0.0,0.0,0.0,2620430.96,2026-03-01,7,False
"Will Bitcoin dip to $50,000 in February?",BTC,50000.0,below,67617.98,0.6046,0.0146,0.0,0.0002,5541582.15,2026-03-01,7,False
"Will Bitcoin reach $105,000 in February?",BTC,105000.0,above,67617.98,0.6046,0.0002,0.0,0.0,3356963.08,2026-03-01,7,False
"Will Bitcoin reach $100,000 in February?",BTC,100000.0,above,67617.98,0.6046,0.0007,0.0,0.0,3901725.76,2026-03-01,7,False
"Will Bitcoin dip to $80,000 in February?",BTC,80000.0,below,67617.98,0.6046,0.9411,1.0,0.0035,2080615.96,2026-03-01,7,True
"Will Bitcoin reach $95,000 in February?",BTC,95000.0,above,67617.98,0.6046,0.0024,0.0,0.0,3511077.34,2026-03-01,7,False
"Will Bitcoin reach $90,000 in February?",BTC,90000.0,above,67617.98,0.6046,0.0077,0.0,0.0001,4835100.52,2026-03-01,7,False
"Will Bitcoin dip to $40,000 in February?",BTC,40000.0,below,67617.98,0.6046,0.0001,0.0,0.0,2957659.74,2026-03-01,7,False
"Will Bitcoin reach $85,000 in February?",BTC,85000.0,above,67617.98,0.6046,0.0224,0.0,0.0005,7551511.59,2026-03-01,7,False
"Will Bitcoin dip to $75,000 in February?",BTC,75000.0,below,67617.98,0.6046,0.861,1.0,0.0193,474776.88,2026-03-01,7,True
"Will Bitcoin dip to $65,000 in February?",BTC,65000.0,below,67617.98,0.6046,0.4402,1.0,0.3133,1755832.97,2026-03-01,7,False
"Will Bitcoin dip to $45,000 in February?",BTC,45000.0,below,67617.98,0.6046,0.0016,0.0,0.0,3710665.65,2026-03-01,7,False
"Will Bitcoin dip to $35,000 in February?",BTC,35000.0,below,67617.98,0.6046,0.0,0.0,0.0,4546147.26,2026-03-01,7,False
"Will Bitcoin reach $75,000 in February?",BTC,75000.0,above,67617.98,0.6046,0.139,0.0,0.0193,7913769.2,2026-03-01,7,False
"Will Bitcoin reach $80,000 in February?",BTC,80000.0,above,67617.98,0.6046,0.0589,0.0,0.0035,4831697.13,2026-03-01,7,False
"Will Bitcoin reach $150,000 in January?",BTC,150000.0,above,86561.94,0.4459,0.0,0.0,0.0,26660909.27,2026-02-01,7,False
"Will Bitcoin dip to $50,000 in January?",BTC,50000.0,below,86561.94,0.4459,0.0,0.0,0.0,838971.85,2026-02-01,7,False
"Will Bitcoin reach $130,000 in January?",BTC,130000.0,above,86561.94,0.4459,0.0,0.0,0.0,4218206.46,2026-02-01,7,False
"Will Bitcoin reach $125,000 in January?",BTC,125000.0,above,86561.94,0.4459,0.0,0.0,0.0,7080988.61,2026-02-01,7,False
"Will Bitcoin reach $120,000 in January?",BTC,120000.0,above,86561.94,0.4459,0.0002,0.0,0.0,4349534.84,2026-02-01,7,False
"Will Bitcoin reach $115,000 in January?",BTC,115000.0,above,86561.94,0.4459,0.0011,0.0,0.0,3483467.35,2026-02-01,7,False
"Will Bitcoin reach $105,000 in January?",BTC,105000.0,above,86561.94,0.4459,0.0152,0.0,0.0002,6931678.68,2026-02-01,7,False
"Will Bitcoin reach $100,000 in January?",BTC,100000.0,above,86561.94,0.4459,0.0463,0.0,0.0021,13025594.7,2026-02-01,7,False
"Will Bitcoin reach $110,000 in January?",BTC,110000.0,above,86561.94,0.4459,0.0043,0.0,0.0,5848826.62,2026-02-01,7,False
"Will Bitcoin dip to $55,000 in January?",BTC,55000.0,below,86561.94,0.4459,0.0,0.0,0.0,877562.93,2026-02-01,7,False
"Will Bitcoin reach $95,000 in January?",BTC,95000.0,above,86561.94,0.4459,0.1213,1.0,0.7721,2243197.98,2026-02-01,7,False
"Will Bitcoin dip to $40,000 in January?",BTC,40000.0,below,86561.94,0.4459,0.0,0.0,0.0,3173872.72,2026-02-01,7,False
"Will Bitcoin reach $90,000 in January?",BTC,90000.0,above,86561.94,0.4459,0.2742,1.0,0.5268,206885.06,2026-02-01,7,False
"Will Bitcoin dip to $85,000 in January?",BTC,85000.0,below,86561.94,0.4459,0.4536,1.0,0.2985,8583813.35,2026-02-01,7,False
"Will Bitcoin dip to $80,000 in January?",BTC,80000.0,below,86561.94,0.4459,0.2062,1.0,0.6302,6752276.85,2026-02-01,7,False
"Will Bitcoin dip to $65,000 in January?",BTC,65000.0,below,86561.94,0.4459,0.0019,0.0,0.0,2135347.55,2026-02-01,7,False
"Will Bitcoin dip to $75,000 in January?",BTC,75000.0,below,86561.94,0.4459,0.0697,0.0,0.0049,5040901.87,2026-02-01,7,False
"Will Bitcoin dip to $70,000 in January?",BTC,70000.0,below,86561.94,0.4459,0.0153,0.0,0.0002,4150722.77,2026-02-01,7,False
"Will Bitcoin dip to $60,000 in January?",BTC,60000.0,below,86561.94,0.4459,0.0001,0.0,0.0,1310835.14,2026-02-01,7,False
"Will Bitcoin dip to $45,000 in January?",BTC,45000.0,below,86561.94,0.4459,0.0,0.0,0.0,832839.48,2026-02-01,7,False
"Will Ethereum hit $7,000 by December 31?",ETH,7000.0,above,2945.07,0.7074,0.0,0.0,0.0,7570762.53,2025-12-31,7,False
"Will Ethereum hit $10,000 by December 31?",ETH,10000.0,above,2945.07,0.7074,0.0,0.0,0.0,9488801.52,2025-12-31,7,False
"Will Ethereum hit $8,000 by December 31?",ETH,8000.0,above,2945.07,0.7074,0.0,0.0,0.0,5745770.45,2025-12-31,7,False
"Will Ethereum hit $6,000 by December 31?",ETH,6000.0,above,2945.07,0.7074,0.0,0.0,0.0,9995564.2,2025-12-31,7,False
"Will Ethereum hit $5,000 by December 31?",ETH,5000.0,above,2945.07,0.7074,0.0002,0.0,0.0,18467737.4,2025-12-31,7,False
"Will Ethereum hit $4,000 by December 31?",ETH,4000.0,above,2945.07,0.7074,0.0149,1.0,0.9703,3572826.57,2025-12-31,7,False
"Will Ethereum dip to $3,000 by December 31?",ETH,3000.0,below,2945.07,0.7074,0.6148,1.0,0.1484,170966.41,2025-12-31,7,True
"Will Ethereum dip to $2,500 by December 31?",ETH,2500.0,below,2945.07,0.7074,0.1431,1.0,0.7343,175483.38,2025-12-31,7,False
"Will Ethereum dip to $2,000 by December 31?",ETH,2000.0,below,2945.07,0.7074,0.0068,1.0,0.9865,323442.77,2025-12-31,7,False
"Will Ethereum dip to $1,500 by December 31?",ETH,1500.0,below,2945.07,0.7074,0.0,1.0,1.0,500584.61,2025-12-31,7,False
"Will Ethereum dip to $1,000 by December 31?",ETH,1000.0,below,2945.07,0.7074,0.0,0.0,0.0,3105396.35,2025-12-31,7,False
"Will Ethereum dip to $1,300 by December 31?",ETH,1300.0,below,2945.07,0.7074,0.0,0.0,0.0,1913038.55,2025-12-31,7,False
"Will Ethereum hit $4,400 by December 31?",ETH,4400.0,above,2945.07,0.7074,0.0028,1.0,0.9943,77955.1,2025-12-31,7,False
Will Ethereum dip to $800 by December 31?,ETH,800.0,below,2945.07,0.7074,0.0,0.0,0.0,1730881.18,2025-12-31,7,False
"Will Ethereum hit $17,000 by December 31?",ETH,17000.0,above,2902.34,0.7049,0.0,0.0,0.0,6416296.56,2026-01-01,7,False
"Will Ethereum dip to $4,000 by December 31?",ETH,4000.0,below,2902.34,0.7049,0.9887,1.0,0.0001,57286.87,2026-01-01,7,True
"Will Bitcoin reach $150,000 in November?",BTC,150000.0,above,88266.2,0.5152,0.0,0.0,0.0,2803160.41,2025-12-01,7,False
"Will Bitcoin reach $140,000 in November?",BTC,140000.0,above,88266.2,0.5152,0.0,0.0,0.0,1216788.81,2025-12-01,7,False
"Will Bitcoin reach $130,000 in November?",BTC,130000.0,above,88266.2,0.5152,0.0001,0.0,0.0,2055404.31,2025-12-01,7,False
"Will Bitcoin reach $120,000 in November?",BTC,120000.0,above,88266.2,0.5152,0.0015,0.0,0.0,2501166.3,2025-12-01,7,False
"Will Bitcoin reach $110,000 in November?",BTC,110000.0,above,88266.2,0.5152,0.0129,1.0,0.9743,148659.28,2025-12-01,7,False
"Will Bitcoin dip to $100,000 in November?",BTC,100000.0,below,88266.2,0.5152,0.9207,1.0,0.0063,641761.06,2025-12-01,7,True
"Will Bitcoin dip to $90,000 in November?",BTC,90000.0,below,88266.2,0.5152,0.6741,1.0,0.1062,2661306.01,2025-12-01,7,True
"Will Bitcoin dip to $80,000 in November?",BTC,80000.0,below,88266.2,0.5152,0.2142,0.0,0.0459,3718522.02,2025-12-01,7,False
"Will Bitcoin dip to $70,000 in November?",BTC,70000.0,below,88266.2,0.5152,0.0251,0.0,0.0006,1629282.22,2025-12-01,7,False
"Will Bitcoin dip to $60,000 in November?",BTC,60000.0,below,88266.2,0.5152,0.0005,0.0,0.0,1445095.67,2025-12-01,7,False
"Will Bitcoin reach $200,000 in November?",BTC,200000.0,above,88266.2,0.5152,0.0,0.0,0.0,13588620.83,2025-12-01,7,False
"Will Bitcoin reach $145,000 in November?",BTC,145000.0,above,88266.2,0.5152,0.0,0.0,0.0,894084.56,2025-12-01,7,False
"Will Bitcoin reach $135,000 in November?",BTC,135000.0,above,88266.2,0.5152,0.0,0.0,0.0,1745959.57,2025-12-01,7,False
"Will Bitcoin reach $125,000 in November?",BTC,125000.0,above,88266.2,0.5152,0.0004,0.0,0.0,1927331.35,2025-12-01,7,False
"Will Bitcoin reach $115,000 in November?",BTC,115000.0,above,88266.2,0.5152,0.0045,0.0,0.0,5622333.16,2025-12-01,7,False
"Will Bitcoin dip to $105,000 in November?",BTC,105000.0,below,88266.2,0.5152,0.9664,1.0,0.0011,274661.3,2025-12-01,7,True
"Will Bitcoin dip to $95,000 in November?",BTC,95000.0,below,88266.2,0.5152,0.8312,1.0,0.0285,2463285.84,2025-12-01,7,True
"Will Bitcoin dip to $85,000 in November?",BTC,85000.0,below,88266.2,0.5152,0.4251,1.0,0.3305,3379197.82,2025-12-01,7,False
"Will Bitcoin dip to $75,000 in November?",BTC,75000.0,below,88266.2,0.5152,0.0861,0.0,0.0074,2748161.64,2025-12-01,7,False
"Will Bitcoin dip to $65,000 in November?",BTC,65000.0,below,88266.2,0.5152,0.0047,0.0,0.0,1558733.66,2025-12-01,7,False
"Will Bitcoin dip to $90,000 by March 31?",BTC,90000.0,below,87523.62,0.6891,0.656,1.0,0.1183,1164316.97,2025-03-31,7,True
"Will Bitcoin reach $200,000 by March 31?",BTC,200000.0,above,87523.62,0.6891,0.0,0.0,0.0,6211260.14,2025-03-31,7,False
"Will Bitcoin reach $150,000 by March 31?",BTC,150000.0,above,87523.62,0.6891,0.0001,0.0,0.0,4273926.84,2025-03-31,7,False
"Will Bitcoin reach $130,000 by March 31?",BTC,130000.0,above,87523.62,0.6891,0.0024,0.0,0.0,3368945.25,2025-03-31,7,False
"Will Bitcoin reach $120,000 by March 31?",BTC,120000.0,above,87523.62,0.6891,0.0105,0.0,0.0001,4250183.44,2025-03-31,7,False
"Will Bitcoin dip to $80,000 by March 31?",BTC,80000.0,below,87523.62,0.6891,0.2884,1.0,0.5064,2309073.41,2025-03-31,7,False
"Will Bitcoin reach $110,000 by March 31?",BTC,110000.0,above,87523.62,0.6891,0.0399,0.0,0.0016,6976571.86,2025-03-31,7,False
"Will Bitcoin dip to $70,000 by March 31?",BTC,70000.0,below,87523.62,0.6891,0.0727,0.0,0.0053,5033087.3,2025-03-31,7,False
"Will Bitcoin dip to $60,000 by March 31?",BTC,60000.0,below,87523.62,0.6891,0.0073,0.0,0.0001,2348716.07,2025-03-31,7,False
"Will Bitcoin reach $85,000 by March 31?",BTC,85000.0,above,87523.62,0.6891,0.5318,1.0,0.2192,37188.47,2025-03-31,7,True
"Will Bitcoin dip to $75,000 by March 31?",BTC,75000.0,below,87523.62,0.6891,0.1577,0.0,0.0249,4097021.61,2025-03-31,7,False
"Will Bitcoin dip to $40,000 by March 31?",BTC,40000.0,below,87523.62,0.6891,0.0,0.0,0.0,762020.83,2025-03-31,7,False
"Will Bitcoin dip to $50,000 by March 31?",BTC,50000.0,below,87523.62,0.6891,0.0002,0.0,0.0,1146898.61,2025-03-31,7,False
"Will Bitcoin reach $105,000 again by March 31?",BTC,105000.0,above,87523.62,0.6891,0.0732,0.0,0.0054,1875628.66,2025-03-31,7,False
"Will Bitcoin dip to $80,000 again by March 31?",BTC,80000.0,below,87523.62,0.6891,0.2884,1.0,0.5064,1093314.39,2025-03-31,7,False
"Will Bitcoin reach $90,000 again by March 31?",BTC,90000.0,above,87523.62,0.6891,0.344,1.0,0.4303,206807.7,2025-03-31,7,False
"Will Bitcoin reach $95,000 again by March 31?",BTC,95000.0,above,87523.62,0.6891,0.2147,0.0,0.0461,2897893.68,2025-03-31,7,False
"Will Bitcoin reach $100,000 again by March 31?",BTC,100000.0,above,87523.62,0.6891,0.1283,0.0,0.0165,2253485.55,2025-03-31,7,False
Will Bitcoin reach $200k in October?,BTC,200000.0,above,111666.21,0.4021,0.0,0.0,0.0,15617197.16,2025-11-01,7,False
Will Bitcoin reach $135k in October?,BTC,135000.0,above,111666.21,0.4021,0.0113,0.0,0.0001,3665860.3,2025-11-01,7,False
Will Bitcoin reach $126k in October?,BTC,126000.0,above,111666.21,0.4021,0.0642,1.0,0.8758,872195.9,2025-11-01,7,False
Will Bitcoin reach $122k in October?,BTC,122000.0,above,111666.21,0.4021,0.1228,1.0,0.7694,141403.15,2025-11-01,7,False
Will Bitcoin reach $118k in October?,BTC,118000.0,above,111666.21,0.4021,0.2184,1.0,0.6109,161794.0,2025-11-01,7,False
Will Bitcoin dip to $114k in October?,BTC,114000.0,below,111666.21,0.4021,0.6364,1.0,0.1322,374670.46,2025-11-01,7,True
Will Bitcoin dip to $110k in October?,BTC,110000.0,below,111666.21,0.4021,0.4311,1.0,0.3237,284233.24,2025-11-01,7,False
Will Bitcoin dip to $106k in October?,BTC,106000.0,below,111666.21,0.4021,0.2557,1.0,0.554,409660.02,2025-11-01,7,False
Will Bitcoin dip to $100k in October?,BTC,100000.0,below,111666.21,0.4021,0.0923,0.0,0.0085,4135952.55,2025-11-01,7,False
Will Bitcoin dip to $90k in October?,BTC,90000.0,below,111666.21,0.4021,0.0065,0.0,0.0,1245042.84,2025-11-01,7,False
Will Bitcoin dip to $70k in October?,BTC,70000.0,below,111666.21,0.4021,0.0,0.0,0.0,1084418.34,2025-11-01,7,False
Will Bitcoin reach $150k in October?,BTC,150000.0,above,111666.21,0.4021,0.0003,0.0,0.0,5109930.29,2025-11-01,7,False
Will Bitcoin reach $130k in October?,BTC,130000.0,above,111666.21,0.4021,0.0311,0.0,0.001,5978400.52,2025-11-01,7,False
Will Bitcoin reach $124k in October?,BTC,124000.0,above,111666.21,0.4021,0.0896,1.0,0.8288,247727.27,2025-11-01,7,False
Will Bitcoin reach $120k in October?,BTC,120000.0,above,111666.21,0.4021,0.1652,1.0,0.6968,266388.41,2025-11-01,7,False
Will Bitcoin reach $116k in October?,BTC,116000.0,above,111666.21,0.4021,0.2839,1.0,0.5129,920.0,2025-11-01,7,False
Will Bitcoin dip to $112k in October?,BTC,112000.0,below,111666.21,0.4021,0.5399,1.0,0.2117,258874.84,2025-11-01,7,True
Will Bitcoin dip to $108k in October?,BTC,108000.0,below,111666.21,0.4021,0.3361,1.0,0.4408,397224.27,2025-11-01,7,False
Will Bitcoin dip to $104k in October?,BTC,104000.0,below,111666.21,0.4021,0.1889,1.0,0.658,437539.71,2025-11-01,7,False
Will Bitcoin dip to $95k in October?,BTC,95000.0,below,111666.21,0.4021,0.0292,0.0,0.0009,1418195.2,2025-11-01,7,False
Will Bitcoin dip to $80k in October?,BTC,80000.0,below,111666.21,0.4021,0.0001,0.0,0.0,1479008.66,2025-11-01,7,False
"Will Bitcoin reach $85,000 in November?",BTC,85000.0,below,97778.77,0.5365,0.0811,1.0,0.8444,2024970.87,2024-11-30,7,False
"Will Bitcoin reach $72,500 in November? ",BTC,72500.0,below,97778.77,0.5365,0.0034,1.0,0.9933,71530.06,2024-11-30,7,False
"Will Bitcoin reach $75,000 in November? ",BTC,75000.0,below,97778.77,0.5365,0.0076,1.0,0.9849,91102.07,2024-11-30,7,False
"Will Bitcoin reach $90,000 in November?",BTC,90000.0,below,97778.77,0.5365,0.1803,1.0,0.6719,6310335.34,2024-11-30,7,False
"Will Bitcoin reach $77,500 in November?",BTC,77500.0,below,97778.77,0.5365,0.0154,1.0,0.9695,1332611.26,2024-11-30,7,False
"Will Bitcoin reach $80,000 in November?",BTC,80000.0,below,97778.77,0.5365,0.0288,1.0,0.9433,1109121.19,2024-11-30,7,False
"Will Bitcoin reach $67,500 in November?",BTC,67500.0,below,97778.77,0.5365,0.0005,1.0,0.999,299005.81,2024-11-30,7,False
"Will Bitcoin reach $65,000 in November?",BTC,65000.0,below,97778.77,0.5365,0.0002,0.0,0.0,2106236.88,2024-11-30,7,False
"Will Bitcoin reach $62,500 in November?",BTC,62500.0,below,97778.77,0.5365,0.0,0.0,0.0,2537.95,2024-11-30,7,False
"Will Bitcoin reach $60,000 in November?",BTC,60000.0,below,97778.77,0.5365,0.0,0.0,0.0,1291945.08,2024-11-30,7,False
"Will Bitcoin reach $82,500 in November?",BTC,82500.0,below,97778.77,0.5365,0.05,1.0,0.9026,1267553.34,2024-11-30,7,False
"Will Bitcoin reach $87,500 in November?",BTC,87500.0,below,97778.77,0.5365,0.1241,1.0,0.7673,1074424.54,2024-11-30,7,False
"Will Bitcoin reach $95,000 in November?",BTC,95000.0,above,97778.77,0.5365,0.6638,1.0,0.113,7758070.26,2024-11-30,7,True
"Will Bitcoin reach $105,000 in November?",BTC,105000.0,above,97778.77,0.5365,0.2692,0.0,0.0725,8039368.33,2024-11-30,7,False
"Will Bitcoin reach $100,000 in December?",BTC,100000.0,above,98594.47,0.5656,0.438,1.0,0.3158,213981.71,2024-12-31,7,False
"Will Bitcoin reach $105,000 in December?",BTC,105000.0,above,98594.47,0.5656,0.2699,1.0,0.533,3709240.01,2024-12-31,7,False
"Will Bitcoin reach $110,000 in December?",BTC,110000.0,above,98594.47,0.5656,0.1581,0.0,0.025,10676794.97,2024-12-31,7,False
"Will Bitcoin reach $120,000 in December?",BTC,120000.0,above,98594.47,0.5656,0.0452,0.0,0.002,5031605.04,2024-12-31,7,False
"Will Bitcoin reach $130,000 in December?",BTC,130000.0,above,98594.47,0.5656,0.0102,0.0,0.0001,6174845.91,2024-12-31,7,False
"Will Bitcoin reach $90,000 in December?",BTC,90000.0,below,98594.47,0.5656,0.1984,0.0,0.0394,8400868.2,2024-12-31,7,False
"Will Bitcoin reach $85,000 in December?",BTC,85000.0,below,98594.47,0.5656,0.0952,0.0,0.0091,3023174.32,2024-12-31,7,False
Will Bitcoin reach $200k in May?,BTC,200000.0,above,107794.01,0.5479,0.0,0.0,0.0,4586719.35,2025-05-31,7,False
Will Bitcoin reach $150k in May?,BTC,150000.0,above,107794.01,0.5479,0.0027,0.0,0.0,3189194.27,2025-05-31,7,False
Will Bitcoin reach $125k in May?,BTC,125000.0,above,107794.01,0.5479,0.0943,0.0,0.0089,4863907.52,2025-05-31,7,False
Will Bitcoin reach $115k in May?,BTC,115000.0,above,107794.01,0.5479,0.2717,0.0,0.0738,4748065.9,2025-05-31,7,False
Will Bitcoin reach $110k in May?,BTC,110000.0,above,107794.01,0.5479,0.4288,1.0,0.3263,3962389.9,2025-05-31,7,False
Will Bitcoin reach $105k in May?,BTC,105000.0,above,107794.01,0.5479,0.6264,1.0,0.1396,956036.42,2025-05-31,7,True
Will Bitcoin reach $100k in May?,BTC,100000.0,below,107794.01,0.5479,0.2207,1.0,0.6073,666703.47,2025-05-31,7,False
Will Bitcoin dip to $90k in May?,BTC,90000.0,below,107794.01,0.5479,0.0502,0.0,0.0025,8925263.98,2025-05-31,7,False
Will Bitcoin dip to $85k in May?,BTC,85000.0,below,107794.01,0.5479,0.0177,0.0,0.0003,1084388.29,2025-05-31,7,False
Will Bitcoin dip to $80k in May?,BTC,80000.0,below,107794.01,0.5479,0.0048,0.0,0.0,667149.59,2025-05-31,7,False
Will Bitcoin dip to $75k in May?,BTC,75000.0,below,107794.01,0.5479,0.0009,0.0,0.0,1735642.39,2025-05-31,7,False
Will Bitcoin dip to $70k in May?,BTC,70000.0,below,107794.01,0.5479,0.0001,0.0,0.0,636604.04,2025-05-31,7,False
Will Bitcoin dip to $60k in May?,BTC,60000.0,below,107794.01,0.5479,0.0,0.0,0.0,420674.42,2025-05-31,7,False
Will Bitcoin dip to $50k in May?,BTC,50000.0,below,107794.01,0.5479,0.0,0.0,0.0,566075.84,2025-05-31,7,False
"Will Ethereum reach $5,000 in February?",ETH,5000.0,above,1956.84,0.8033,0.0,0.0,0.0,7971673.12,2026-03-01,7,False
"Will Ethereum dip to $2,000 in February?",ETH,2000.0,below,1956.84,0.8033,0.654,1.0,0.1197,746838.02,2026-03-01,7,True
"Will Ethereum dip to $2,400 in February?",ETH,2400.0,below,1956.84,0.8033,0.9282,1.0,0.0052,147700.52,2026-03-01,7,True
"Will Ethereum reach $4,400 in February?",ETH,4400.0,above,1956.84,0.8033,0.0,0.0,0.0,8802970.9,2026-03-01,7,False
"Will Ethereum dip to $2,600 in February?",ETH,2600.0,below,1956.84,0.8033,0.9716,1.0,0.0008,61975.07,2026-03-01,7,True
"Will Ethereum reach $3,600 in February?",ETH,3600.0,above,1956.84,0.8033,0.0001,0.0,0.0,857239.95,2026-03-01,7,False
"Will Ethereum dip to $1,200 in February?",ETH,1200.0,below,1956.84,0.8033,0.0039,0.0,0.0,1573364.63,2026-03-01,7,False
"Will Ethereum reach $4,200 in February?",ETH,4200.0,above,1956.84,0.8033,0.0,0.0,0.0,1919956.92,2026-03-01,7,False
"Will Ethereum reach $4,000 in February?",ETH,4000.0,above,1956.84,0.8033,0.0,0.0,0.0,1201392.35,2026-03-01,7,False
Will Ethereum dip to $800 in February?,ETH,800.0,below,1956.84,0.8033,0.0,0.0,0.0,1018551.76,2026-03-01,7,False
"Will Ethereum reach $3,800 in February?",ETH,3800.0,above,1956.84,0.8033,0.0,0.0,0.0,1292877.38,2026-03-01,7,False
"Will Ethereum dip to $1,800 in February?",ETH,1800.0,below,1956.84,0.8033,0.3599,1.0,0.4098,532855.52,2026-03-01,7,False
"Will Ethereum dip to $1,400 in February?",ETH,1400.0,below,1956.84,0.8033,0.035,0.0,0.0012,1310089.99,2026-03-01,7,False
"Will Ethereum reach $3,400 in February?",ETH,3400.0,above,1956.84,0.8033,0.0004,0.0,0.0,836394.87,2026-03-01,7,False
"Will Ethereum reach $3,200 in February?",ETH,3200.0,above,1956.84,0.8033,0.0012,0.0,0.0,732958.96,2026-03-01,7,False
"Will Ethereum reach $3,000 in February?",ETH,3000.0,above,1956.84,0.8033,0.0036,0.0,0.0,1120631.99,2026-03-01,7,False
"Will Ethereum reach $2,800 in February?",ETH,2800.0,above,1956.84,0.8033,0.0104,0.0,0.0001,2314653.0,2026-03-01,7,False
"Will Ethereum dip to $1,600 in February?",ETH,1600.0,below,1956.84,0.8033,0.1425,0.0,0.0203,2171737.8,2026-03-01,7,False
"Will Ethereum dip to $2,200 in February?",ETH,2200.0,below,1956.84,0.8033,0.8348,1.0,0.0273,249872.68,2026-03-01,7,True
"Will Ethereum dip to $1,000 in February?",ETH,1000.0,below,1956.84,0.8033,0.0001,0.0,0.0,959685.25,2026-03-01,7,False
"Will Bitcoin reach $150,000 by January 31, 2025?",BTC,150000.0,above,104850.27,0.551,0.0014,0.0,0.0,2173412.31,2025-01-31,7,False
"Will Bitcoin reach $200,000 by January 31, 2025?",BTC,200000.0,above,104850.27,0.551,0.0,0.0,0.0,3926310.99,2025-01-31,7,False
